% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, A, Izz, Iyy, J, Cw, Zzz, Zyy, Ayy, Azz
W36X441	1.30000E+02	3.21000E+04	1.99000E+03	1.94000E+02	6.61000E+05	1.91000E+03	3.68000E+02	5.29040E+01	6.91333E+01
W36X395	1.16000E+02	2.85000E+04	1.75000E+03	1.42000E+02	5.75000E+05	1.71000E+03	3.25000E+02	4.68480E+01	6.16000E+01
W36X361	1.06000E+02	2.57000E+04	1.57000E+03	1.09000E+02	5.09000E+05	1.55000E+03	2.93000E+02	4.25600E+01	5.59450E+01
W36X330	9.69000E+01	2.33000E+04	1.42000E+03	8.43000E+01	4.56000E+05	1.41000E+03	2.65000E+02	3.84540E+01	5.11833E+01
W36X302	8.90000E+01	2.11000E+04	1.30000E+03	6.43000E+01	4.12000E+05	1.28000E+03	2.41000E+02	3.52485E+01	4.67600E+01
W36X282	8.29000E+01	1.96000E+04	1.20000E+03	5.27000E+01	3.78000E+05	1.19000E+03	2.23000E+02	3.28335E+01	4.34367E+01
W36X262	7.72000E+01	1.79000E+04	1.09000E+03	4.16000E+01	3.42000E+05	1.10000E+03	2.04000E+02	3.09960E+01	3.98400E+01
W36X247	7.25000E+01	1.67000E+04	1.01000E+03	3.47000E+01	3.16000E+05	1.03000E+03	1.90000E+02	2.93600E+01	3.71250E+01
W36X231	6.82000E+01	1.56000E+04	9.40000E+02	2.87000E+01	2.92000E+05	9.63000E+02	1.76000E+02	2.77400E+01	3.46500E+01
W36X256	7.53000E+01	1.68000E+04	5.28000E+02	5.29000E+01	1.68000E+05	1.04000E+03	1.37000E+02	3.59040E+01	3.51767E+01
W36X232	6.80000E+01	1.50000E+04	4.68000E+02	3.96000E+01	1.48000E+05	9.36000E+02	1.22000E+02	3.22770E+01	3.16617E+01
W36X210	6.19000E+01	1.32000E+04	4.11000E+02	2.80000E+01	1.28000E+05	8.33000E+02	1.07000E+02	3.04610E+01	2.76533E+01
W36X194	5.70000E+01	1.21000E+04	3.75000E+02	2.22000E+01	1.16000E+05	7.67000E+02	9.77000E+01	2.79225E+01	2.54100E+01
W36X182	5.36000E+01	1.13000E+04	3.47000E+02	1.85000E+01	1.07000E+05	7.18000E+02	9.07000E+01	2.63175E+01	2.37967E+01
W36X170	5.00000E+01	1.05000E+04	3.20000E+02	1.51000E+01	9.85000E+04	6.68000E+02	8.38000E+01	2.46160E+01	2.20000E+01
W36X160	4.70000E+01	9.76000E+03	2.95000E+02	1.24000E+01	9.02000E+04	6.24000E+02	7.73000E+01	2.34000E+01	2.04000E+01
W36X150	4.43000E+01	9.04000E+03	2.70000E+02	1.01000E+01	8.22000E+04	5.81000E+02	7.09000E+01	2.24375E+01	1.88000E+01
W36X135	3.99000E+01	7.80000E+03	2.25000E+02	7.00000E+00	6.81000E+04	5.09000E+02	5.97000E+01	2.13600E+01	1.58000E+01
W33X387	1.14000E+02	2.43000E+04	1.62000E+03	1.48000E+02	4.59000E+05	1.56000E+03	3.12000E+02	4.53600E+01	6.15600E+01
W33X354	1.04000E+02	2.20000E+04	1.46000E+03	1.15000E+02	4.08000E+05	1.42000E+03	2.82000E+02	4.12960E+01	5.60817E+01
W33X318	9.37000E+01	1.95000E+04	1.29000E+03	8.44000E+01	3.57000E+05	1.27000E+03	2.50000E+02	3.66080E+01	5.04000E+01
W33X291	8.56000E+01	1.77000E+04	1.16000E+03	6.51000E+01	3.19000E+05	1.16000E+03	2.26000E+02	3.34080E+01	4.58450E+01
W33X263	7.74000E+01	1.59000E+04	1.04000E+03	4.87000E+01	2.81000E+05	1.04000E+03	2.02000E+02	3.00150E+01	4.13433E+01
W33X241	7.11000E+01	1.42000E+04	9.33000E+02	3.62000E+01	2.51000E+05	9.40000E+02	1.82000E+02	2.83860E+01	3.71000E+01
