% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t
L2-1/2X2-1/2X3/8	2.50	2.50	0.375
L2-1/2X2-1/2X5/16	2.50	2.50	0.313
L2-1/2X2-1/2X1/4	2.50	2.50	0.250
L2-1/2X2-1/2X3/16	2.50	2.50	0.188
L2-1/2X2X3/8	2.00	2.50	0.375
L2-1/2X2X5/16	2.00	2.50	0.313
L2-1/2X2X1/4	2.00	2.50	0.250
L2-1/2X2X3/16	2.00	2.50	0.188
L2-1/2X1-1/2X1/4	1.50	2.50	0.250
L2-1/2X1-1/2X3/16	1.50	2.50	0.188
L2X2X3/8	2.00	2.00	0.375
L2X2X5/16	2.00	2.00	0.313
L2X2X1/4	2.00	2.00	0.250
L2X2X3/16	2.00	2.00	0.188
L2X2X1/8	2.00	2.00	0.125

