% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, tw, tf
WT230X174.5	267	297	29.5	53.6
WT230X157.5	262	295	26.9	48.5
WT230X143	259	292	24.4	44.5
WT230X130	254	290	22.6	40.4
WT230X117.5	250	287	20.6	36.6
WT230X106.5	248	284	18.5	33.5
WT230X96.5	245	284	17.0	30.5
WT230X88.5	241	287	16.6	26.9
WT230X79	238	284	15.0	23.9
WT230X72	236	282	13.6	22.1
WT230X64	234	282	12.2	19.6
WT230X56.5	231	279	10.8	17.3
WT230X53	235	194	12.6	20.6
WT230X48.5	233	193	11.4	19.1
WT230X44.5	232	192	10.5	17.7
WT230X41	230	191	9.91	16.0
WT230X37	229	191	9.02	14.5
WT230X34	229	154	9.14	15.4
WT230X30	227	153	8.00	13.3
WT230X26	225	152	7.62	10.8
WT205X74.5	216	264	14.9	25.0
WT205X66	213	264	13.3	22.2
WT205X57	210	262	11.6	19.3
WT205X50	208	259	10.0	16.9
WT205X42.5	209	181	10.9	18.2
WT205X37.5	207	180	9.65	16.0
WT205X33.5	205	179	8.76	14.4
WT205X30	203	178	7.75	12.8
WT205X26.5	201	178	7.49	10.9
WT205X23.05	202	140	6.99	11.2
WT205X19.4	199	140	6.35	8.76
WT180X694.5	300	478	100	140
WT180X601	290	472	95.0	130
WT180X543	284	455	78.0	125
WT180X495	274	450	71.9	115
WT180X450	267	442	66.0	106
WT180X409	257	437	60.5	97.0
WT180X372	249	432	55.6	88.9
WT180X338.5	242	427	51.3	81.5
WT180X317	237	424	47.8	77.2
WT180X296	232	422	45.0	72.4
WT180X275.5	228	419	42.2	67.6
WT180X254.5	223	417	39.1	62.7
WT180X231.5	217	411	35.8	57.4
WT180X210.5	213	409	32.8	52.6
WT180X191	208	406	30.0	48.0
WT180X173.5	204	404	27.2	43.7
WT180X157	200	401	24.9	39.6
WT180X143.5	197	399	22.6	36.6
WT180X131	193	399	21.1	33.3
WT180X118.5	190	396	18.9	30.2
WT180X108	188	394	17.3	27.7
WT180X98	186	373	16.4	26.2
WT180X89.5	184	373	15.0	23.9
WT180X81	182	371	13.3	21.8
WT180X73.5	180	371	12.3	19.8
WT180X67	178	368	11.2	18.0
WT180X61	182	257	13.0	21.7
WT180X55	180	257	11.4	19.9
WT180X50.5	178	254	10.5	18.3
WT180X45.5	177	254	9.53	16.4
WT180X39.5	177	205	9.40	16.8
WT180X36	175	204	8.64	15.1
WT180X32	173	203	7.75	13.5
WT180X28.9	179	172	7.87	13.1
WT180X25.5	178	171	7.24	11.6
WT180X22	176	171	6.86	9.78
WT180X19.5	177	128	6.48	10.7
WT180X16.45	174	127	5.84	8.51
WT155X250	214	340	45.2	75.2
WT155X227	207	335	41.4	68.8
WT155X207.5	201	333	38.9	62.7
WT155X187.5	196	330	35.6	57.2
WT155X171	191	328	32.8	52.6
WT155X156.5	187	325	30.0	48.3
WT155X141.5	183	323	26.9	44.2
WT155X126.5	178	320	24.4	39.6
WT155X113	174	318	22.1	35.6
WT155X101	170	315	20.1	31.8
WT155X89.5	167	312	18.0	28.2
WT155X79	164	310	15.5	25.1
WT155X71.5	162	310	14.0	22.9
WT155X64.5	159	307	13.1	20.6
WT155X58.5	157	307	11.9	18.7
WT155X53.5	156	305	10.9	17.0
WT155X48.5	154	305	9.91	15.4
WT155X43	155	254	9.14	16.3
WT155X39.5	153	254	8.76	14.6
WT155X37	155	205	9.40	16.3
WT155X33.5	153	204	8.51	14.6
WT155X30	152	203	7.49	13.1
WT155X26	159	167	7.62	13.2
WT155X22.25	157	166	6.60	11.2
WT155X19.35	155	165	5.84	9.65
WT155X16.35	156	102	6.60	10.8
WT155X14.15	154	102	5.97	8.89
WT155X11.9	152	101	5.59	6.73
WT155X10.5	151	101	5.08	5.72
WT125X83.5	144	264	19.2	31.8
WT125X74.5	141	262	17.3	28.4
WT125X65.5	138	262	15.4	25.1
